product_id,product_description
1,Milk
2,Bread
3,Eggs
4,Cheese
5,Yogurt
6,Butter
7,"Fresh fruits (apples, bananas, oranges, etc.)"
8,"Fresh vegetables (carrots, lettuce, tomatoes, etc.)"
9,"Canned vegetables (corn, peas, green beans, etc.)"
10,"Canned fruits (peaches, pears, pineapple, etc.)"
11,Cereal
12,Oatmeal
13,Pasta
14,Rice
15,Flour
16,Sugar
17,Salt
18,Pepper
19,"Spices (cinnamon, garlic powder, etc.)"
20,Baking powder
21,Baking soda
22,Yeast
23,"Cooking oil (olive oil, vegetable oil, etc.)"
24,"Vinegar (balsamic vinegar, apple cider vinegar, etc.)"
25,Ketchup
26,Mustard
27,Mayonnaise
28,"Salad dressing (ranch, Italian, Caesar, etc.)"
29,Peanut butter
30,Jelly or jam
31,Honey
32,"Syrup (maple syrup, pancake syrup)"
33,"Chips (potato chips, tortilla chips)"
34,"Crackers (saltines, Ritz crackers)"
35,Cookies
36,"Candy bars (Snickers, Kit Kat, etc.)"
37,Ice cream
38,"Frozen vegetables (broccoli, spinach, mixed vegetables)"
39,"Frozen fruits (strawberries, blueberries)"
40,Frozen dinners (TV dinners)
41,Pizza
42,Hot dogs
43,Hamburger meat or ground beef
44,Chicken breasts or thighs
45,Pork chops or pork loin roast
46,"Fish fillets or steaks (salmon, tilapia)"
47,Bacon or sausage links/patties
48,"Lunch meat (ham, turkey breast)"
49,Bread crumbs or croutons
50,Soup
